full_name,followers_x,followers_tiktok,followers_instagram,followers_total,date_pulled,find_official_account
Arizona Diamondbacks,"599,300","323,000","719,000","1,641,300",2026-05-29,search ↗
Athletics,"579,800","217,100","573,000","1,369,900",2026-05-29,search ↗
Atlanta Braves,"1,600,000","1,100,000","2,000,000","4,700,000",2026-05-29,search ↗
Baltimore Orioles,"839,500","352,500","796,000","1,988,000",2026-05-29,search ↗
Boston Red Sox,"2,000,000","973,200","2,400,000","5,373,200",2026-05-29,search ↗
Chicago Cubs,"2,400,000","1,000,000","2,000,000","5,400,000",2026-05-29,search ↗
Chicago White Sox,"1,000,000","458,700","776,000","2,234,700",2026-05-29,search ↗
Cincinnati Reds,"960,000","633,300","826,000","2,419,300",2026-05-29,search ↗
Cleveland Guardians,"1,000,000","118,000","780,000","1,898,000",2026-05-29,search ↗
Colorado Rockies,"605,300","195,700","586,000","1,387,000",2026-05-29,search ↗
Detroit Tigers,"1,400,000","491,700","1,100,000","2,991,700",2026-05-29,search ↗
Houston Astros,"1,900,000","452,800","1,700,000","4,052,800",2026-05-29,search ↗
Kansas City Royals,"1,000,000","397,400","1,000,000","2,397,400",2026-05-29,search ↗
Los Angeles Angels,"1,200,000","375,400","1,200,000","2,775,400",2026-05-29,search ↗
Los Angeles Dodgers,"3,000,000","2,800,000","5,900,000","11,700,000",2026-05-29,search ↗
Miami Marlins,"442,600","287,700","821,000","1,551,300",2026-05-29,search ↗
Milwaukee Brewers,"713,500","368,600","759,000","1,841,100",2026-05-29,search ↗
Minnesota Twins,"659,100","268,800","605,000","1,532,900",2026-05-29,search ↗
New York Mets,"1,300,000","835,900","1,800,000","3,935,900",2026-05-29,search ↗
New York Yankees,"3,800,000","1,900,000","4,200,000","9,900,000",2026-05-29,search ↗
Philadelphia Phillies,"2,000,000","673,500","1,500,000","4,173,500",2026-05-29,search ↗
Pittsburgh Pirates,"797,600","500,200","894,000","2,191,800",2026-05-29,search ↗
San Diego Padres,"702,300","1,100,000","1,600,000","3,402,300",2026-05-29,search ↗
San Francisco Giants,"1,500,000","717,700","1,700,000","3,917,700",2026-05-29,search ↗
Seattle Mariners,"739,400","600,600","1,100,000","2,440,000",2026-05-29,search ↗
St. Louis Cardinals,"1,300,000","320,400","1,100,000","2,720,400",2026-05-29,search ↗
Tampa Bay Rays,"644,400","426,600","557,000","1,628,000",2026-05-29,search ↗
Texas Rangers,"1,300,000","530,500","1,000,000","2,830,500",2026-05-29,search ↗
Toronto Blue Jays,"2,200,000","851,100","2,400,000","5,451,100",2026-05-29,search ↗
Washington Nationals,"740,700","52,600","729,000","1,522,300",2026-05-29,search ↗